Title,About,Usuability,Link
happiness-index-2018-2019,"About data: This study analyzes the association between the Happiness Index Score in 2018 and 2019 and a set of independent variables such as 'Overall rank' 'GDP per capita' 'Social support' 'Healthy life expectancy' 'Freedom to make life choices' 'Generosity' and 'Perceptions of corruption'. The objective of this study is to investigate the impact of these independent variables on the level of happiness of individuals during these two years. In addition a country-wise analysis was conducted to examine variations in variables between the top-ranking happiest country and India. Multiple visualizations were employed to identify and illustrate these differences in a clear and concise manner.Dependent & Independent variables: The first independent variable is GDP per capita which represents the economic well-being of a country's residents. The second variable freedom to make life choices represents the level of autonomy and control individuals have over their lives. The third variable health life expectancy indicates the length of time individuals can expect to live in good health. The fourth variable perception of corruption reflects the extent to which corruption is perceived to be prevalent in a society. Finally the fifth variable social support measures the extent to which individuals have access to support from family friends and other social networks.By examining the relationship between these independent variables and the Happiness Index Score the study aims to contribute to the understanding of the factors that impact individuals' happiness levels. The results of this study could be useful for policymakers and other stakeholders in identifying areas for intervention and improvement to enhance the overall well-being of the population.Overview of the Data (2018 & 2019)AbstractThis study aims to investigate the relationship between the Happiness Index Score and several independent variables namely GDP per capita social support healthy life expectancy freedom to make life choices and perceptions of corruption in the years 2018 and 2019. By analyzing these variables we sought to identify the factors that significantly influence individuals' happiness levels and contribute to a better understanding of the factors that impact overall well-being. The study used regression analysis to examine the statistical significance of these variables and their impact on the dependent variable the Happiness Index Score. The results indicate that all independent variables significantly influence the Happiness Index Score and can explain up to 98.6% and 98.1% of the variance in the dependent variable in 2018 and 2019 respectively. Moreover the analysis suggests that social support and GDP per capita are the main parameters that differentiate Finland from India in terms of happiness levels. The findings of this study could be useful for policymakers and stakeholders in identifying areas for intervention and improvement to enhance the overall well-being of the population.Keywords: Happiness Index Score GDP per capita social support healthy life expectancy freedom to make life choices perceptions of corruption regression analysis Finland India.Introduction:The pursuit of happiness has been a central theme in human societies throughout history. The Happiness Index Score is a measure of well-being that has gained considerable attention in recent years as an indicator of a country's overall prosperity and quality of life. The Happiness Index Score is calculated based on several variables including GDP per capita social support healthy life expectancy freedom to make life choices perceptions of corruption and generosity.The purpose of this study is to investigate the impact of these variables on the Happiness Index Score in 2018 and 2019 and to identify the factors that significantly influence individuals' happiness levels. The study aims to contribute to the understanding of the factors that impact overall well-being and to provide insights for policymakers and stakeholders in identifying areas for intervention and improvement.Methodology:The study used regression analysis to examine the relationship between the Happiness Index Score and independent variables namely GDP per capita social support healthy life expectancy freedom to make life choices and perceptions of corruption. The data for this study was obtained from the World Happiness Report for the years 2018 and 2019. The analysis was conducted using Python programming and all the visualizations were created using the same.Results:The regression analysis revealed that all independent variables significantly influence the Happiness Index Score in both 2018 and 2019. The adjusted R squared values of 0.986 and 0.981 in 2018 and 2019 respectively indicate a robust model capable of explaining a large proportion of the variance in the dependent variable. Moreover the p-values associated with the F statistics were less than 0.05 indicating that the model is statistically significant and reliable.Firstly a regression analysis was conducted for dataset ""Happiness Index 2018"". Here The regression model indicates that the independent variables namely GDP per capita social support freedom to make life choices generosity and perceptions of corruption significantly influence the dependent variable which is the Happiness Index Score. This finding suggests that variations in the aforementioned independent variables can considerably affect positively the level of happiness in a given population. It is worth noting that all the independent variables have p-values less than 0.05 indicating that they are statistically significant in the model. Additionally the adjusted R squared value of 0.986 is indicative of a robust model which can explain 98.6% of the variance in the dependent variable. Moreover the p-value associated with the F statistics is also less than 0.05 further strengthening the evidence that the model is significant and capable of producing reliable results. Overall these findings suggest that the regression model is valid and can be used to make accurate predictions about the Happiness Index Score based on the selected independent variables.Thereafter another regression analysis was conducted for dataset ""Happiness Index 2019"" to investigate the influence of social support freedom to make life choices generosity and perceptions of corruption on the happiness index score. The analysis revealed that all independent variables significantly influenced the dependent variable indicating that the happiness index score varied greatly based on these factors. The statistical significance of these variables was confirmed by a p-value of less than 0.05. The robustness of the model was also demonstrated by an adjusted R squared value of 0.981. Moreover the p-value associated with F statistics was less than 0.05 suggesting that the model was good. These findings suggest that policymakers and organizations could target these independent variables to enhance overall happiness levels.Furthermore the country-wise analysis showed that Finland had significantly higher levels of GDP per capita and social support compared to India which were the two main factors contributing to the difference in happiness levels between the two countries.Conclusion:The study concludes that the independent variables namely GDP per capita social support healthy life expectancy freedom to make life choices and perceptions of corruption significantly influence the Happiness Index Score in both 2018 and 2019. The findings suggest that policymakers and stakeholders could target these variables to enhance overall well-being and happiness levels. The analysis also highlights the importance of GDP per capita and social support in determining the Happiness Index Score and differentiating countries' happiness levels as demonstrated by the comparison of Finland and India.The study contributes to the understanding of the factors that impact individuals' happiness levels and provides insights for policymakers and stakeholders in identifying areas for intervention and improvement.Code link: https://www.kaggle.com/code/sougatapramanick/soug009",10.00,https://www.kaggle.com/datasets/sougatapramanick/happiness-index-2018-2019
tabpfn-019-whl,This is the whl file for version 0.1.9 of TabPFN.followed by:This dataset includes the files:,9.38,https://www.kaggle.com/datasets/carlmcbrideellis/tabpfn-019-whl
protbert-embeddings-for-cafa5,This dataset contains ProtBERT model vector embeddings for protein sequences of CAFA 5 (Critical Assessment of Functional Annotation) Kaggle Competition :https://www.kaggle.com/competitions/cafa-5-protein-function-predictionProtBERT is a transformer-based language model that was specifically trained on a large corpus of protein sequences to learn representations that capture important structural and functional information.The protein sequences were obtained from various sources including the Protein Data Bank (PDB) and UniProt. More information about the model is available from its respective HuggingFace Data Card :https://huggingface.co/Rostlab/prot_bert,8.75,https://www.kaggle.com/datasets/henriupton/protbert-embeddings-for-cafa5
house,"*Abount the Dataset:Used in Belsley Kuh & Welsch 'Regression diagnostics …' Wiley1980. N.B. Various transformations are used in the table on pages 244-261. Quinlan (1993). Combining Instance-Based and Model-Based Learning. In Proceedings on the Tenth International Conference of Machine Learning 236-243 University of Massachusetts Amherst. Morgan Kaufmann.** Relevant Information: Concerns housing values in suburbs of Boston.** Number of Instances: 509** Number of Attributes: 13 continuous attributes (including ""class"" attribute ""MEDV"") 1 binary-valued attribute.Attribute Information:1) CRIM : per capita crime rate by town.2) ZN : proportion of residential land zoned for lots over 25000 sq.ft.3) INDUS: proportion of non-retail business acres per town.4) CHAS : Charles River dummy variable (= 1 if tract bounds river; 0 otherwise).5) NOX : nitric oxides concentration (parts per 10 million).6) RM : average number of rooms per dwelling.7) AGE : proportion of owner-occupied units built prior to 1940.8) DIS : weighted distances to five Boston employment centres.9) RAD : index of accessibility to radial highways.10) TAX : full-value property-tax rate per $10000.11) PTRATIO : pupil-teacher ratio by town.12) B : 1000(Bk - 0.63)^2 where Bk is the proportion of blacks by town.13) LSTAT: % lower status of the population.14) MEDV : Median value of owner-occupied homes in $1000's.*",10.00,https://www.kaggle.com/datasets/shubhammeshram579/house
ai-index,"The Dataset ""AI Global index"" includes The Global AI Index itself and seven indicators affecting the Index on 62 countries as well as general information about the countries (region cluster income group and political regime).The Global AI Index is the first index to benchmark nations on their level of investment innovation and implementation of artificial intelligence.Talent Infrastructure and Operating Environment are the factors of AI Implementation group of indicators which represents the application of artificial intelligence by professionals in various sectors such as businesses governments and communities. Research and Development are the factors of Innovation group of indicators which reflects the progress made in technology and methodology which signify the potential for artificial intelligence to evolve and improve.Government Strategy and Commercial are the factors of Investment group of indicators which reflects financial and procedural commitments to artificial intelligence. All these seven indicators were calculated by Tortoise Media via weighting and summarizing 143 other indicators.The dataset can be used for practicing data cleaning data visualization finding correlations between the indexes Machine Learning (classification regression clustering).The data was used in the analytical article research Artificial Intelligence on the World Stage: Dominant Players and Aspiring Challengers",10.00,https://www.kaggle.com/datasets/katerynameleshenko/ai-index
human-faces-object-detection,A diverse compilation of human facial images encompassing various races age groups and profiles with the aim of creating an unbiased dataset that includes coordinates of facial regions suitable for training object detection models.,10.00,https://www.kaggle.com/datasets/sbaghbidi/human-faces-object-detection
usa-real-estate-dataset,This dataset contains Real Estate listings in the US broken by State and zip code.kaggle API CommandThe dataset has 1 CSV file with 10 columns -NB: acre_lot means the total land area and house_size denotes the living space/building areaData was collected from -Image by Mohamed Hassan from PixabayThe data and information in the data set provided here are intended to use for educational purposes only. I do not own any data and all rights are reserved to the respective owners.The dataset will be updated every 2-4 weeks.,10.00,https://www.kaggle.com/datasets/ahmedshahriarsakib/usa-real-estate-dataset
ecommerce-item-hub-argos-uk,"Brief Data DescriptionThis dataset comprises of products enlisted on a popular catalogue retailer ""Argos Limited"" operating in the United Kingdom and Ireland. This dataset not only gives the exclusive Product Names but also other important details like Category Sub-Category Product Type Product Line Price & EAN Code.This is a popular site where a few of my clients have even asked me to extract product specific data using Web Scraping tools. I have added one such sample notebook's link down below =))Dataset Collation TechniqueThe link to the notebook where this data has been scraped by me using Selenium with Python -: https://github.com/Tasha-14/ECommerce-Data-Extraction",10.00,https://www.kaggle.com/datasets/tanisha1416/ecommerce-item-hub-argos-uk
s3e14-oofs,The dataset is consist of 10 submission files and 10 respective out-fold-predictions + 1 file called ffs.Some of the oofs were not used during the final ensemble but added as acknowledgment of the authors’ work. ffs.csv file was obtrained by using the following code:,9.41,https://www.kaggle.com/datasets/sergiosaharovskiy/s3e14-oofs
futureidea-ai-tools-dataset,💥💥This dataset encompasses diverse AI applications ranging from machine learning algorithms and natural language processing tools to computer vision frameworks and predictive analytics models. **It serves as a valuable resource for researchers developers and entrepreneurs seeking cutting-edge AI technologies to shape the future. With its extensive scope and meticulously selected tools this dataset offers a comprehensive exploration of the AI landscape inspiring creative solutions and paving the way for transformative advancements across various industries.The Futureidea_3K+_AI_Tools_Dataset boasts a multitude of features providing users with a comprehensive and dynamic resource for their AI endeavors. Some key features of this dataset include:Extensive Tool Collection: The dataset comprises over 3000 meticulously curated AI tools covering a wide range of domains such as machine learning natural language processing computer vision and predictive analytics.**Diversity of Applications: **The tools in the dataset cater to diverse applications enabling users to explore AI solutions for various industries and problem domains including healthcare finance e-commerce transportation and more.Tool Descriptions and Documentation: Each tool comes with detailed descriptions and documentation offering valuable insights into its functionality usage and implementation. This information assists users in understanding and effectively utilizing the tools in their projects.Integration and Compatibility: The dataset includes information about the compatibility and integration capabilities of each tool allowing users to assess their suitability for different software platforms programming languages and frameworks.Performance Metrics and Benchmarks: Users can access performance metrics and benchmarks associated with the AI tools providing valuable insights into their effectiveness and helping users make informed decisions when selecting tools for their projects.**Versioning and Updates: **The dataset tracks tool versions and provides information about updates ensuring users have access to the latest advancements and improvements in AI technologies.Community Ratings and Reviews: The dataset incorporates community-driven ratings and reviews allowing users to benefit from the experiences and recommendations of other developers researchers and practitioners in the AI community.Licensing and Usage Terms: Information regarding licensing and usage terms of the AI tools is included helping users understand the legal aspects and any restrictions associated with their implementation.Search and Filtering Capabilities: The dataset offers robust search and filtering capabilities enabling users to find specific tools based on their requirements such as functionalities programming language compatibility and more.Open and Accessible Format: The dataset is provided in an open and accessible format allowing users to easily retrieve analyze and integrate the AI tools into their projects.Overall the Futureidea_3K+_AI_Tools_Dataset provides a comprehensive and feature-rich resource for exploring evaluating and leveraging a diverse range of AI tools empowering users to drive innovation and shape the future with cutting-edge AI technologies.,9.41,https://www.kaggle.com/datasets/shahriarrahman009/futureidea-ai-tools-dataset
flipkart-fasion-products-dataset,Clean and Ready to use raw datasets for research and analysis.5.7 million + records Flipkart datasetFlipkart is the largest E-commerce website based in India. The pre-crawled dataset has more than 5.7 million records.Where to use the datasetTrain machine learning algorithmsCheck discounts of various category's fieldsFind out which brand and categories have the best discount,9.41,https://www.kaggle.com/datasets/aaditshukla/flipkart-fasion-products-dataset
cardiovascular-diseases-risk-prediction-dataset,The Behavioral Risk Factor Surveillance System (BRFSS) is the nation’s premier system of health-related telephone surveys that collect state data about U.S. residents regarding their health-related risk behaviors chronic health conditions and use of preventive services. I preprocessed and cleaned the BRFSS Dataset. From 304 unique variables I hand-picked 19 variables that relates to lifestyle factors of a person that can be contributed to being at risk with any form of Cardiovascular Diseases.You can also read the research article that was published that made use of this dataset.Read Here!,10.00,https://www.kaggle.com/datasets/alphiree/cardiovascular-diseases-risk-prediction-dataset
uk-retail-sales-pounds-data-1986-2023,This dataset contains all the data tables related to the total sales and average weekly spending estimates for each retail sector in Great Britain in thousands of pounds published in March 2023 by the Office for National Statistics (ONS) from Q1 1971 - Q1 2023.,8.24,https://www.kaggle.com/datasets/matarrgaye/uk-retail-sales-pounds-data-1986-2023
largest-malls,This is a partial list of the world's largest shopping malls based on gross leasable area (GLA) with a GLA of at least 250000 m2 (2700000 sq ft).,10.00,https://www.kaggle.com/datasets/drahulsingh/largest-malls
poland-used-cars-offers,Dataset scraped from largest Polish used and new cars offers website otomoto.pl. By analyzing this dataset researchers can explore various aspects of the Polish used car market such as price distribution by brand and model the relationship between mileage and price popular fuel types and their availability in different regions and the impact of car age on pricing. Additionally this dataset can facilitate the development of predictive models for estimating the value of used cars based on their specifications and historical market trends.,9.41,https://www.kaggle.com/datasets/wspirat/poland-used-cars-offers
70-football-leagues-data-2019-2023,Title: 70 Football Leagues Data (2019-2023)Dataset Description:This dataset provides comprehensive data on 70 football leagues from various countries around the world. The dataset covers the period from 2019 to 2023 offering a rich collection of football-related information for data analysis research and visualization purposes.Content:The dataset contains a wealth of football-related data including match statistics team information player details and league standings. The dataset covers a diverse range of leagues encompassing top-tier competitions as well as lower divisions allowing users to explore football data at various levels.Key Features:Match ResultsHome GoalsAway GoalsHome Goals in First HalfAway Goals in First HalfMatch Odds for 1X2 and O/U 2.5 GoalsTotal Goals in the MatchPotential Use Cases:Data Source:The data for this dataset is collected from reliable sources including official football websites sports news portals and reputable football data providers. The dataset is carefully curated and quality-checked to ensure accuracy and reliability.Updates and Maintenance:The dataset will be periodically updated to include new seasons leagues and any necessary data corrections. User feedback and contributions are welcome to improve the dataset and keep it up-to-date.Disclaimer:While utmost care has been taken to ensure the accuracy and reliability of the data errors or inconsistencies may still exist. Users are encouraged to verify the data with official sources before making any critical decisions based on the dataset.Acknowledgments:We would like to acknowledge the contributions of the data providers football organizations and sports enthusiasts whose efforts have made this dataset possible. Their dedication to collecting and sharing football data is greatly appreciated.Note:Please be respectful of the data usage policy and terms of service of the dataset. Use the data responsibly and ensure compliance with any applicable legal requirements.,7.06,https://www.kaggle.com/datasets/takidaki/70-football-leagues-data-2019-2023
olid-i,Artificial intelligence (AI) has taken the globe by storm since its inception and the enormous agriculture sector is no exception. The progress of any AI-assisted mechanism is heavily reliant on massive training data. Although the application of AI in plant leaf management has garnered prominence in recent years there is still a dearth of data especially in the case of tropical and subtropical crops. In light of this we present a public dataset containing 4749 leaf images which include healthy nutritionally deficient and pest-infested leaves of tomato (Solanum lycopersicum) eggplant (Solanum melongena) cucumber (Cucumis sativus) bitter gourd (Momordica charantia) snake gourd (Trichosanthes cucumerina) ridge gourd (Luffa acutangula) ash gourd (Benincasa hispida) and bottle gourd (Lagenaria siceraria). The dataset comprises 57 unique classes with high-resolution photos (3024 x 3024). The images have been captured at three different sites in Bangladesh in natural field settings and arduously labeled by an expert panel. This collection features the highest number of plant stress classes and the first multi-label classification problem in the agro-domain. The effective utilization of our dataset will result in an abundance of leaf disease diagnosis algorithms pest identification and classification tools and nutritional deficiency estimation strategies to highlight a few.Note: The excel file comprises a detailed class distribution.,8.75,https://www.kaggle.com/datasets/raiaone/olid-i
world-happiness-2015,The World Happiness Report is a publication by the United Nations Sustainable Development Solutions Network which ranks countries based on their levels of happiness and well-being. However my knowledge cutoff is in September 2021 and I don't have access to real-time data. Therefore I don't have the specific rankings for the World Happiness Report for the year 2015. However I can provide you with the top-ranking countries based on the 2021 World Happiness Report if that would be of interest to you.,7.06,https://www.kaggle.com/datasets/sanjanchaudhari/world-happiness-2015
2023-bike-model-dataset-all-data-you-need,This dataset can be used to analyze the performance features and pricing of different motorcycles. It can also be used to identify trends in the motorcycle industry.Here are some of the ways that this dataset can be used:,9.41,https://www.kaggle.com/datasets/peshimaammuzammil/2023-bike-model-dataset-all-data-you-need
sentiment-and-emotions-of-tweets,"The csv dataset contains all the Twitter mentions of Dell during first three quarters of 2022 (Jan 01 - Sept 30) along with the sentiment and emotions of each tweet. It has about 25k tweets along with date timestamp username and tweet Id sentiment sentiment_score emotion and emotion_score.The sentiments and emotions has been classified using 🤗 transformers check out this notebook to learn more.Sentiments:  positive negative and neutralEmotions:  joy love optimism pessimism trust surprise anticipation sadness anger disgust and fear.The tweets have been scraped using ""snscrape"" library which does not require Twitter's API access. You can follow this notebook to learn more about scrapping tweets using ""snscrape"".",10.00,https://www.kaggle.com/datasets/ankitkumar2635/sentiment-and-emotions-of-tweets
roblox-stock-pricing-2021-2023,"The ""Roblox Stock Price Dataset (2021-2023)"" curated by Arslan provides comprehensive daily trading data for Roblox Corporation's stock from its initial public offering (IPO) date on March 10 2021 until June 19 2023. The dataset was extracted from Yahoo Finance a reputable financial platform.Roblox Corporation founded by David Baszucki and Erik Cassel originated from their previous venture Knowledge Revolution an educational software company. They established Roblox Corporation in 2004 starting with the development of the game DynaBlocks later renamed Roblox and officially released on September 1 2006. Since then Roblox has grown to become a prominent player in the gaming industry.The dataset contains key stock market indicators such as the opening price closing price highest price lowest price and trading volume for each trading day. The data is organized chronologically enabling users to analyze the stock's performance track trends and gain insights into Roblox Corporation's market value over the specified period.Please note that the dataset includes data until June 19 2023. Researchers investors and analysts can utilize this dataset to perform various quantitative analyses evaluate investment strategies and explore the historical performance of Roblox stock.By leveraging this comprehensive dataset stakeholders can uncover valuable patterns trends and correlations to make informed decisions within the context of the dynamic and evolving Roblox Corporation and the stock market at large.",10.00,https://www.kaggle.com/datasets/arslanr369/roblox-stock-pricing-2021-2023
farfetch-us-full-product-with-prices-and-discounts,Full product list page web data collection from farfetch.com USA.This is a full feature dataset for anyone to use and build with no restrictions.Data Structure Full documentationThis data is also available refreshed daily at databoutique.com,9.38,https://www.kaggle.com/datasets/databoutique/farfetch-us-full-product-with-prices-and-discounts
ipl-match-result-2008-2022,This dataset contains information about cricket matches including city date season match number participating teams venue toss details match outcome winning team margin method player of the match and umpire details.Column Name and Description:ID: The unique identifier for each match.City: The city where the match took place.Date: The date of the match.Season: The season in which the match was played.MatchNumber: The number of the match in the season.Team1: The name of the first team.Team2: The name of the second team.Venue: The venue where the match was held.TossWinner: The team that won the toss.TossDecision: The decision made by the team that won the toss (batting or bowling).SuperOver: Indicates whether a super over was played (1 for yes 0 for no).WinningTeam: The team that won the match.WonBy: The outcome of the match (e.g. runs wickets).Margin: The margin by which the winning team won the match.Method: The method used to determine the winner (e.g. Duckworth-Lewis Bowl Out).Player_of_Match: The player who was awarded the Man of the Match title.Team1Players: A list of players from Team1.Team2Players: A list of players from Team2.Umpire1: The name of the first umpire.Umpire2: The name of the second umpire.,6.47,https://www.kaggle.com/datasets/yatharththakare/ipl-match-result-2008-2022
top-charts-artists-country,"I made this dataset for a data vizualisation project about Spotify top artists countries and top rank songs world repartition. This is a list of 966 couples of Artists / Countries.The artist list has been taken of the ""Best Songs on Spotify for every year (2000-2023)"" database from Conor Van Eden. I've extracted the countries with Python using the Musicbrainz API and doing hand web scraping for the few ones that were not returned by the API.The countries have been cleaned up. Every country exists with a unique label. There is no intersection between countries (i.e: United Kingdom / England)",10.00,https://www.kaggle.com/datasets/hedizekri/top-charts-artists-country
